mq5,mq9,mq135,humidity,temp,pressure,dust
118.68,84.27,102.12,70,28,983,3.26
122.91,91.52,109.86,69,27,983,3.26
127.93,99.82,88.02,71,28,983,2.26
126.77,99.67,80.12,71,28,983,4.96
123.66,88.92,72.75,71,28,983,2.07
119.6,75.05,74.94,72,28,983,1.65
118.15,76.82,88.29,71,28,983,1.61
120.97,83.32,98.17,69,28,983,1.59
122.62,84.23,101.96,69,28,983,1.68
126.33,96.58,112.71,69,28,983,1.56
125.32,91.46,110.2,70,28,984,1.7
124.24,81.42,100.7,70,28,984,1.59
120.79,80.57,100.77,70,28,984,1.55
125.14,96.74,113.7,71,28,984,1.64
126.45,96.2,114.64,73,28,984,1.66
128.33,101.1,118.75,72,28,984,1.55
128.25,100.87,118.71,73,28,984,1.63
129.09,103.19,120.2,73,28,984,1.57
130.1,103.89,122.3,72,28,984,2.6
128.68,100.55,120.18,73,28,984,1.55
129.87,103.37,122.41,73,28,984,1.52
129.03,101.26,120.99,73,28,984,1.64
130.01,105.36,123.08,73,28,984,1.6
130.94,106.15,124.77,73,28,984,1.73
130.71,104.9,124.47,73,28,984,1.69
130.36,104.88,124.11,74,28,984,1.98
130.28,105.85,123.82,74,28,984,1.53
131.29,107.63,125.06,74,28,984,1.53
131.81,108.2,126.16,74,28,984,1.51
131.78,107.75,126.08,74,28,984,1.55
131.12,107.36,125.11,74,28,984,1.7
132.22,110.82,126.92,74,28,984,1.56
132.54,109.66,127.17,74,28,984,1.69
132.71,110.41,127.7,74,28,984,1.56
131.7,108.14,125.98,74,28,984,1.6
132.48,110.71,127.47,74,28,984,1.56
132.91,110.79,128.06,74,28,984,1.56
132.57,110.48,127.8,74,28,984,1.55
132.07,109.02,126.86,74,28,984,1.57
129.46,102.65,88.41,76,28,985,3.27
129.61,103.06,87.92,73,28,985,2.03
129.29,101.98,82.05,76,28,985,2.04
125.09,88.39,80.31,75,28,985,1.91
121.89,79.53,85.14,71,28,985,1.57
122.47,85.89,99.49,70,28,985,1.55
120.13,84.24,102.84,67,28,985,1.48
118.68,72.49,92.75,66,28,985,1.6
125.66,94.99,113.38,65,27,985,1.48
128.1,108.9,123.82,69,28,985,1.48
128.51,106.21,122.33,70,27,985,1.51
127.49,102.55,120.06,67,28,985,1.42
128.36,101.02,121.28,66,28,985,1.68
124.82,93.71,114.78,66,28,985,1.51
125.98,99.27,117.25,65,28,985,1.56
126.51,100.24,118.2,66,28,985,1.69
127.93,104.71,121.17,66,28,985,1.43
128.1,104.23,121.61,66,28,985,1.55
127.87,103.16,120.88,67,28,985,1.42
129.12,108.51,124.97,66,28,985,1.46
131.29,114.04,129.12,70,28,985,1.63
128.19,104.16,123.65,69,28,985,1.61
136.71,122.65,140.96,68,28,985,1.61
120.79,85.38,109.3,67,28,985,1.46
124.68,101.55,117.29,68,28,985,1.63
126.56,103.35,118.94,68,28,985,1.42
127.75,104.91,120.96,66,28,985,1.5
